material,codec,texture,mse,psnr_db,ssim
material_21,astc,diffuse,0.00010088474598359523,39.96174495170068,0.9486667385166877
material_21,astc,normal,0.00035819219083941763,34.45883886695582,0.8603212900389288
material_21,astc,roughness,0.00018296546003722825,37.37630888034794,0.9271858781276933
material_21,astc,metallic,1.67439964013236e-05,47.761408780094,0.9926024445905034
material_22,ntc,diffuse,3.525772811907996e-05,44.52745675506209,0.992200500849922
material_22,ntc,normal,7.27798945150726e-05,41.37988578202312,0.9930021962227138
material_22,ntc,roughness,2.5430303202466994e-05,45.94648461752199,0.9946772260555046
material_22,ntc,metallic,6.893148298918556e-10,91.61582378011082,0.9999991549384986
material_22,bc,diffuse,0.0004932006511213648,33.069763587222326,0.8688206682801555
material_22,bc,normal,0.0034300040172270396,24.647053713104327,0.7431000077327283
material_22,bc,roughness,0.0002621905042623,35.81383041178208,0.9234701820500756
material_22,bc,metallic,5.6080529072731964e-09,82.5118789781807,0.9999875636438932
material_22,astc,diffuse,0.00028734473578386437,35.41596754823867,0.9112755026307817
material_22,astc,normal,0.0025911447460654083,25.865083258556854,0.7732073174044455
material_22,astc,roughness,0.00024218542275383635,36.15852000780472,0.9280326264410264
material_22,astc,metallic,1.5365678667835498e-05,48.13448253163095,0.8669613454555303
material_23,ntc,diffuse,6.329926537906626e-05,41.986013301669914,0.9902340964605577
material_23,ntc,normal,3.780838801047362e-05,44.224118387199866,0.9955379173316597
material_23,ntc,roughness,5.597958655883812e-05,42.51970313370361,0.9935755170411703
material_23,ntc,metallic,1.6132900763174224e-10,97.92287537621843,0.9999997930404759
material_23,bc,diffuse,0.001868499218762236,27.285070793970682,0.792428084891264
material_23,bc,normal,0.022232407628739306,16.53013503416308,0.8608735581772883
material_23,bc,roughness,0.0004169710832633521,33.798940620876564,0.9577355631047009
material_23,bc,metallic,1.2050707080222417e-09,89.18987469933127,0.9999971931296332
material_23,astc,diffuse,0.0007099927354545787,31.4874609489801,0.8921555393814119
material_23,astc,normal,0.021858178054052088,16.60386040650159,0.8539194014574929
material_23,astc,roughness,0.0002673074893503842,35.729888731253205,0.9627993830949234
material_23,astc,metallic,1.4522426611353639e-05,48.379608095402986,0.8778349146623119
material_24,ntc,diffuse,0.00013472373980713412,38.705558700616265,0.9929440350548915
material_24,ntc,normal,0.0002209170247343741,36.55770814398861,0.9886274806469463
material_24,ntc,roughness,5.956090661516836e-05,42.25038700191719,0.9939877317048479
material_24,ntc,metallic,1.9789202711720943e-07,67.03571702755463,0.9997501916947212
material_24,bc,diffuse,0.006450700985509382,21.90393088838085,0.6957184101965309
material_24,bc,normal,0.013917340170931365,18.564437575030524,0.4256257523104023
material_24,bc,roughness,0.0029604364313268977,25.28644259973081,0.7231344069157174
material_24,bc,metallic,4.462220971518301e-06,53.50448927029578,0.9796387092045193
material_24,astc,diffuse,0.0025738578951155886,25.894154345376144,0.8798606960299272
material_24,astc,normal,0.008995431305727128,20.45978008615634,0.5891266037662197
material_24,astc,roughness,0.0013089623836273928,28.830728338295245,0.8729122897151591
material_24,astc,metallic,1.9609159552108604e-05,47.07541019779612,0.8495472715153104
